Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;S4;8;GUARULHOS;SP;09/2017;668.339;0;3.775;431.840;186.377;12.412;6.527;4.344;3.696;19.369;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;S4;9;SORRISO;MT;09/2017;667.842;0;106.877;304.652;167.680;27.909;10.227;16.869;6.812;26.817;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;09/2017;666.954;0;197.166;293.873;94.814;45.711;14.038;8.642;2.991;9.720;0
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;09/2017;651.377;0;378.632;36.867;26.637;21.501;18.780;19.339;19.827;129.793;0
BANCO MONEO S.A.;7.441.209;b2;I;2;S4;8;CAXIAS DO SUL;RS;09/2017;641.438;51.347;178.389;195.434;118.710;32.851;20.699;20.444;18.440;5.124;0
MODAL;51.963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;09/2017;635.465;21.907;252.826;194.420;76.383;74.367;0;0;0;11.061;4.502
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;09/2017;626.555;2.930;208.141;209.683;104.709;35.518;18.316;7.256;22.413;17.589;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;S4;14;SAO PAULO;SP;09/2017;622.699;0;317.204;114.084;130.385;38.627;13.374;1.034;395;7.594;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;S4;9;SANTA MARIA;RS;09/2017;614.384;0;224.669;241.624;72.626;21.519;19.411;7.780;6.058;20.696;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;09/2017;611.525;0;350.407;184.425;38.695;16.086;9.828;4.799;2.294;4.989;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;09/2017;599.382;1;190.866;234.692;66.593;41.423;15.967;13.846;6.205;29.789;0
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35.571.249;b3S;I;2;S5;9;JOAO PESSOA;PB;09/2017;576.955;0;299.059;115.869;65.351;56.962;10.441;10.265;5.689;13.318;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87.733.770;b3S;I;2;S4;9;RODEIO BONITO;RS;09/2017;554.757;1;145.430;206.927;137.720;32.597;8.922;6.637;3.259;13.264;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3.632.872;b3S;I;2;S5;9;VILHENA;RO;09/2017;535.663;9.555;277.997;156.283;52.325;11.761;2.780;5.598;2.115;17.249;0
