Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;03/2018;1.433.001;0;0;0;0;0;0;295.011;0;0;0;0;0;0;1.137.990;0;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;03/2018;1.385.971;1.385.971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;03/2018;1.380.109;947.551;0;290;0;0;132.029;300.065;0;0;0;0;0;0;0;174;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;03/2018;1.347.768;1.014.138;0;0;0;0;33.982;299.338;0;0;0;0;0;0;0;309;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2018;1.319.729;1.319.128;0;0;0;0;0;0;0;0;0;0;0;0;0;601;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;03/2018;1.234.753;611.080;0;0;0;0;0;623.673;0;0;0;0;0;0;0;0;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;03/2018;1.211.917;698.008;225.909;110.747;0;0;51.951;5.989;12.717;0;46.825;40.403;0;14.163;5.206;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;03/2018;1.204.360;717.069;0;0;0;0;0;480.502;0;0;0;0;0;0;6.788;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;03/2018;1.162.719;71.815;0;399.586;17.903;0;0;0;35.959;0;0;203.271;0;434.184;0;0;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;03/2018;1.157.481;455.500;0;0;0;0;0;129.411;0;0;0;0;0;0;572.570;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;03/2018;1.137.337;124.644;1.551;579.360;1.806;0;10.569;0;27.158;0;0;392.246;0;0;0;2;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;03/2018;1.117.091;936.225;1.262;401;0;0;0;179.125;0;0;0;0;0;0;0;78;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;03/2018;1.103.872;1.085.765;0;0;0;0;0;0;0;0;0;0;0;0;0;18.106;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;03/2018;1.098.770;1.012.769;0;0;0;0;16.736;68.979;0;0;0;0;0;0;0;286;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;03/2018;1.089.925;290.445;0;0;0;0;671.414;128.066;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;S4;5;VITORIA;ES;03/2018;1.077.955;956.773;23.282;46.560;0;0;51.340;0;0;0;0;0;0;0;0;0;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;03/2018;1.072.907;439.248;1.058;0;0;0;0;510.502;0;0;20.209;0;0;190;101.686;15;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;03/2018;1.034.160;725.416;0;0;0;0;25.843;282.639;0;0;0;0;0;0;0;262;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;03/2018;1.033.485;6.413;0;0;0;0;0;0;0;1.027.072;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;03/2018;979.518;586.085;0;0;0;0;0;393.416;0;0;0;0;0;0;0;18;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;S4;8;PORTO ALEGRE;RS;03/2018;949.444;878.155;0;0;0;0;0;71.281;0;0;0;0;0;0;0;7;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;03/2018;921.608;921.413;0;0;0;0;0;0;0;0;0;0;0;161;0;34;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;03/2018;920.744;696.499;0;0;0;0;14.180;209.912;0;0;0;0;0;0;0;153;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;03/2018;890.163;596.504;702;0;0;0;0;292.912;0;0;0;0;0;0;0;44;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;03/2018;873.545;524.648;0;0;0;0;32.559;316.257;0;0;0;0;0;0;0;81;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;03/2018;869.952;755.085;0;0;0;0;1.091;113.606;0;0;0;0;0;0;0;170;0
