Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;S4;14;SAO PAULO;SP;03/2017;2.021.886;1.917.182;0;0;0;0;0;0;0;0;0;0;0;0;104.704;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;03/2017;2.019.098;75.821;0;0;0;0;1.360.627;0;0;294;0;0;0;519.871;62;62.423
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;03/2017;1.776.287;854.221;0;42.840;0;1.650;15.349;600.847;0;12.459;0;0;0;244.118;4.803;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2017;1.723.833;399.988;1.323.710;0;0;0;0;0;0;0;0;0;0;0;134;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;03/2017;1.558.954;1.144.938;0;325.895;0;0;0;88.121;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2017;1.553.668;1.055.871;39.677;13.696;0;3.325;376.511;0;0;34.272;0;0;0;30.169;147;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.538.685;959.097;0;0;0;65.676;513.527;0;0;0;0;0;0;0;385;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2017;1.447.540;806.801;0;12.211;0;0;242.223;91.599;0;0;0;0;0;0;294.706;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2017;1.432.660;57.116;1.375.148;0;0;0;0;0;0;0;0;0;0;0;395;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;03/2017;1.352.993;1.352.979;0;0;0;0;0;0;0;0;0;0;0;0;14;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;03/2017;1.351.490;751.876;311.419;84.538;0;13.319;19.098;12.885;0;0;2.486;0;0;155.735;133;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2017;1.314.315;1.036.072;0;0;0;18.689;251.337;0;0;0;0;0;698;0;7.520;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;03/2017;1.230.596;596.253;0;0;0;0;624.401;0;0;0;0;0;0;9.940;1;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;03/2017;1.205.228;1.204.417;0;0;0;0;0;0;0;0;0;0;408;0;403;0
