Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;;25;BRASILIA;DF;09/2015;1.260.512;219.551;648.139;152.134;79.648;159.947;1.091;0
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;09/2015;1.249.919;688.493;122.025;156.882;41.673;240.466;381;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;09/2015;1.224.574;3.840;1.198.645;3.685;2.837;12.391;3.175;0
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;09/2015;1.196.850;578.858;76.138;44.438;19.142;299.593;178.681;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;09/2015;1.161.829;1.024.109;17.826;24.063;1.701;93.926;204;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;09/2015;1.083.600;1.077.070;3.007;144;0;3.378;1;0
MIZUHO;51.554;b1;I;3;;199;SAO PAULO;SP;09/2015;1.066.432;773.029;61.655;117.009;65.183;40.584;0;8.974
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;09/2015;1.064.956;392.789;126.186;156.698;71.679;317.601;2;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;;5;VITORIA;ES;09/2015;1.061.670;1.056.187;250;2.338;1.860;274;760;0
BES;51.482;b2;C;3;;198;SAO PAULO;SP;09/2015;1.006.027;520.717;26.145;113.113;10.380;117.285;0;218.388
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;;9;MARINGA;PR;09/2015;977.416;129.392;13.278;347;2.845;825.953;5.602;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;;9;CAMPO MOURAO;PR;09/2015;916.034;3.959;70.082;7;98;840.941;947;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;09/2015;906.094;168;78;41;2.684;902.815;308;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;09/2015;846.397;388.458;59.067;130.443;70.060;198.309;61;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;;8;PORTO ALEGRE;RS;09/2015;816.756;113.637;10.507;7.899;2.978;669.187;12.547;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;09/2015;808.459;471.326;40.748;123.884;47.977;124.525;0;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;;8;SAO PAULO;SP;09/2015;776.886;451.111;91.192;10.439;0;224.144;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;09/2015;770.761;79.512;7.106;505;796;678.310;4.532;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;;8;SAO PAULO;SP;09/2015;763.314;573.436;45.399;0;0;144.480;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;;9;CERRO LARGO;RS;09/2015;736.840;2.152;5.742;1.209;61;723.950;3.726;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;;9;GOIANIA;GO;09/2015;732.340;3.334;633.342;774;94.437;283;169;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;09/2015;710.567;699.113;1.548;7.395;1.832;191;488;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;09/2015;659.193;0;1.549;0;441;656.424;778;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;;9;CHAPECO;SC;09/2015;647.290;687;1.830;57;433;643.775;508;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;09/2015;620.229;511.007;56.322;41.781;474;9.622;1.023;0
