Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;09/2018;21.268;0;23.133;65.213;0;109.615;1.495.234;0;595.681;5.802.456;0;1.533.753;7.931.890;1.287.526;10.824.265;161.320;411.207;11.396.792;25.464;2.407.983;13.830.239
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;09/2018;0;0;10.187;0;0;10.187;0;0;0;0;0;0;0;0;10.187;0;12.541.905;12.552.092;0;393.904;12.945.996
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;09/2018;0;0;2.015.643;3.285.884;0;5.301.526;0;0;0;1.890.479;0;0;1.890.479;0;7.192.005;0;3.050.417;10.242.422;195.860;2.201.612;12.639.893
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;S4;I;3;RIO DE JANEIRO;RJ;09/2018;0;0;0;0;0;0;5.505.621;0;0;0;0;0;0;163.604;5.669.225;134.947;4.940.064;10.744.236;57;1.268.864;12.013.157
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.422.111;9.422.111;0;627.714;10.049.825
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;09/2018;261.962;190.682;69.937;6.280.768;0;6.803.348;133.116;26.530;250.797;10.282;0;0;287.609;0;7.224.073;0;1.674.734;8.898.807;453;847.842;9.747.102
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;09/2018;179.440;0;147.224;3.697.943;0;4.024.608;25.606;919.079;1.725.798;72.033;0;481;2.717.391;15.013;6.782.618;41.360;461.768;7.285.746;13.887;2.157.075;9.456.708
PINE;50304;b1;S3;C;2;SAO PAULO;SP;09/2018;103.788;0;115.223;5.192.425;0;5.411.436;378.312;483.946;354.996;86.072;0;0;925.015;442.710;7.157.473;1.110.088;150.783;8.418.345;41.451;934.398;9.394.193
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;09/2018;0;0;1.552.357;682.634;0;2.234.991;0;0;0;315.836;0;0;315.836;4.388.648;6.939.475;0;613.535;7.553.011;12.251;1.658.200;9.223.462
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;09/2018;376.869;0;2.700;1.662.144;0;2.041.714;65.009;0;0;236.058;0;0;236.058;1.539.090;3.881.870;313.540;3.121.443;7.316.852;5.370;1.600.455;8.922.678
