Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BBM;30207;b1;;C;2;SALVADOR;BA;03/2015;3.019.610;1.250.745;2.444.906;2.059.088;574.704;6.825;9;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;03/2015;2.843.709;2.312.466;2.067.596;757.525;776.113;17.953;2;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;3;RIO DE JANEIRO;RJ;03/2015;2.843.539;209;2.461.392;8.906;382.147;13.859;3;0
MIZUHO;51554;b1;;I;3;SAO PAULO;SP;03/2015;2.808.627;951.020;2.271.730;1.549.012;536.898;15.446;1;0
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;03/2015;2.750.027;23.390;2.453.556;1.029.565;296.471;1.541;1;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;03/2015;2.573.540;1.743.434;1.959.032;1.863.940;614.508;27.500;0;84
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;03/2015;2.543.223;1.711.765;191.088;0;2.352.135;233.945;1;0
BANCO BONSUCESSO S.A.;71027866;b1;;I;2;BELO HORIZONTE;MG;03/2015;2.508.744;626.794;2.020.101;1.316.373;488.643;122.818;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;03/2015;2.479.789;49.107;2.344.648;63.237;135.140;2.563;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;03/2015;2.403.799;73.158;2.283.252;10.113;120.547;16;0;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;03/2015;2.369.404;1.498.270;1.895.731;1.765.819;473.673;7.304;8;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;03/2015;2.313.121;2.181.951;1.517.278;482.190;795.843;74.723;1;0
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;03/2015;2.292.438;2.042.859;2.083.766;1.984.418;208.672;-4.294;1;0
OMNI;50940;n1;;C;2;SAO PAULO;SP;03/2015;2.289.873;1.556.820;2.045.442;1.310.101;244.432;4.195;2;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;03/2015;2.284.750;2.234.306;1.736.127;228.963;548.623;71.880;1;0
BANCO RODOBENS S.A.;33603457;b1;;I;2;SAO PAULO;SP;03/2015;2.221.457;1.658.284;1.717.749;1.628.198;503.708;18.011;2;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;;I;3;SAO PAULO;SP;03/2015;2.195.703;497.227;1.774.326;1.098.294;421.378;10.652;1;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;03/2015;2.193.951;1.435.985;1.816.652;1.523.564;377.299;11.925;43;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;03/2015;2.104.747;1.419.621;1.759.308;1.631.558;345.439;1.625;0;25
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;03/2015;2.036.585;781.206;1.678.627;1.458.687;357.958;-2.682;4;0
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;03/2015;2.019.620;1.649.043;1.706.537;1.515.505;313.083;7.852;36;0
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;03/2015;1.972.620;500.901;1.731.692;1.343.519;240.928;3.418;2;0
BANCO ABN AMRO S.A.;3532415;b1;;I;3;SAO PAULO;SP;03/2015;1.932.677;909.938;1.385.950;1.320.832;546.727;6.790;2;0
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;03/2015;1.890.258;262.347;1.718.917;1.178.146;171.342;8.850;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;03/2015;1.844.084;1.251.297;1.504.832;839.414;339.252;22.679;0;26
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;03/2015;1.759.767;1.566.029;1.510.261;1.485.813;249.505;9.154;1;0
RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;n2;;I;2;SAO PAULO;SP;03/2015;1.629.932;0;1.576.500;1.564.228;53.432;1.738;1;0
