Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;09/2019;0;282.096;10.653.596;0;0;0;0;0;0;0;0;249.212;49;117.184;11.302.138;0;11.302.138
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;09/2019;203.062;2.069.157;1.208.825;734.996;-3.950;731.046;0;0;0;0;0;6.108.988;1.344;10.718;10.333.140;0;10.333.140
PINE;50304;b1;S3;C;2;SAO PAULO;SP;09/2019;158.871;239.349;4.350.527;2.767.182;-307.747;2.459.435;0;0;0;0;0;1.716.342;489.294;667.445;10.081.262;0;10.081.262
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;I;3;SAO PAULO;SP;09/2019;37.059;2.920.727;2.520.749;877.433;-1.023;876.410;0;0;0;0;0;3.485.965;211.396;8.341;10.060.646;0;10.060.646
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;09/2019;3.793;0;289.510;3.310.710;-991.399;2.319.310;0;0;0;0;0;6.493.335;53.000;846.734;10.005.682;0;10.005.682
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;09/2019;581.943;1.918.342;1.294.368;4.914.279;-544.770;4.369.509;0;0;0;0;0;1.051.425;412.248;305.864;9.933.698;0;9.933.698
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;09/2019;32.778;219.430;0;8.988.309;-301.562;8.686.748;132;7.739;4.051;-415;11.506;497.199;21.340;26.850;9.495.852;4.051;9.491.800
INTER;51884;b1;S4;C;2;BELO HORIZONTE;MG;09/2019;41.051;3.575.663;544.242;3.725.178;-119.874;3.605.304;0;0;0;0;0;898.388;497.819;90.798;9.253.265;0;9.253.265
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;09/2019;278;3.537.129;1.200.365;2.192.245;-101.248;2.090.997;0;0;0;0;0;78.128;2.135.358;22.698;9.064.953;0;9.064.953
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;09/2019;0;607.160;8.139.512;0;0;0;0;0;0;0;0;181.782;33;62.522;8.991.009;0;8.991.009
