Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;06/2018;2.171.536;431.002;894.098;513.072;182.479;52.019;18.841;11.392;22.303;46.329;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;06/2018;2.152.252;0;688.797;651.568;275.578;160.833;64.435;53.513;48.936;208.594;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;06/2018;2.106.792;44.161;612.852;1.293.001;95.256;16.849;12.641;232;263;31.537;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;06/2018;2.103.890;1.879.485;115.131;65.384;22.545;0;0;0;0;21.346;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;06/2018;2.062.013;1.068.896;452.383;124.180;297.017;4.458;28.333;10.262;62.922;13.563;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;06/2018;1.872.530;827.100;765.802;133.335;36.564;6.452;2.304;4.633;2.502;20.838;73.000
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;06/2018;1.851.805;0;878.037;568.533;206.987;44.097;21.307;23.516;26.741;82.587;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;06/2018;1.794.728;1.697.965;0;0;0;0;0;0;96.764;0;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;06/2018;1.747.466;910.985;737.130;99.350;0;0;0;0;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;06/2018;1.721.545;1.419.904;9.086;0;0;0;0;0;0;0;292.555
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;06/2018;1.720.987;1.499.468;92.241;0;31.366;0;0;0;97.911;0;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;06/2018;1.710.385;1.570.761;55.874;60.301;0;14.403;0;0;0;9.045;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;06/2018;1.697.103;905.045;423.097;121.448;58.474;13.386;145.839;7.139;5.722;16.953;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;06/2018;1.690.709;58.752;1.188.115;115.251;143.363;28.574;20.976;20.697;29.145;85.836;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;06/2018;1.688.011;638.667;733.816;161.085;0;3.401;23.318;76.252;51.472;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;06/2018;1.635.993;52;886.561;422.046;183.974;54.547;23.104;16.213;10.986;38.509;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;06/2018;1.614.143;317.761;872.274;197.377;86.474;39.695;27.178;13.468;6.899;53.017;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;06/2018;1.555.878;128.732;1.070.160;165.721;88.901;38.235;13.147;10.250;8.643;32.089;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;06/2018;1.553.401;0;895.798;98.604;87.678;78.613;71.833;61.027;42.397;217.453;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;06/2018;1.366.828;277;419.050;562.679;194.138;65.920;37.006;27.009;14.478;46.271;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;06/2018;1.345.305;36.855;610.000;353.100;284.301;46.654;4.103;1.673;1.099;7.519;0
