Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2010;215.593;0;58.371;-38.366;12.856;0;248.454;-147.074;-49.343;0;0;-1.230;-197.646;50.808;19.608;3.234;-23.008;-16.933;-8.138;-4.818;96.053;-30.044;35.954;86.762;264;87.026;-20.937;-14.974;51.115;-18.151
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2010;134.892;0;55.536;24.061;31.188;0;245.676;-105.028;-33.481;0;0;-13.479;-151.988;93.688;24.249;897;-13.221;-22.333;-7.160;93;34.954;-38.206;-20.726;72.962;-219;72.743;-20.932;-14.215;37.596;-12.466
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;09/2010;69.673;207.862;6.244;-39.612;0;0;244.167;-48.176;-4.171;-177.680;0;-972;-230.999;13.168;87;6.005;-5.040;-20.423;-6.219;0;34.968;-909;8.468;21.636;-463;21.173;-8.342;-413;12.418;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2010;188.797;0;41.348;0;0;0;230.145;0;-90.318;0;0;-86.535;-176.853;53.292;3.973;0;-23.099;-5.531;-4.158;0;882;-44.934;-72.868;-19.576;-27;-19.604;6.708;0;-12.896;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2010;127.134;63.567;53.946;-18.991;1.650;0;227.306;-83.146;-9.831;-50.185;0;-4.460;-147.621;79.684;167;1.765;-13.526;-21.778;-6.144;1.732;35.223;-31.711;-34.272;45.412;-14.461;30.951;-4.822;-2.217;23.912;-6.000
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;09/2010;64.284;0;143.577;12.674;0;1.975;222.510;-173.455;-17.963;0;0;-7.141;-198.559;23.950;25.747;15;-10.121;-19.885;-2.877;703;9.072;-18.372;-15.717;8.233;1.177;9.410;-3.292;-504;5.613;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2010;4.507;200.295;3.554;0;0;0;208.357;-18.033;-10.205;-162.252;0;-529;-191.019;17.338;0;0;0;-6.031;-574;0;429;-1.971;-8.148;9.191;0;9.191;-3.685;0;5.505;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2010;68.613;0;135.939;0;0;59;204.611;-42.114;-61.663;0;-968;-24.038;-128.783;75.828;70.341;16.308;-73.207;-51.525;-12.239;0;86.612;-70.390;-34.101;41.727;516;42.243;-38.041;0;4.202;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;09/2010;148.830;428;53.378;-1.766;0;0;200.870;-80.107;-1.674;-421;-300;-54.797;-137.299;63.571;1.533;2.580;-35.045;-56.581;-458;-484;16.391;-9.600;-81.664;-18.093;31.354;13.261;-6.427;0;6.834;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2010;54.089;128.268;3.444;2.297;0;0;188.099;-34.153;-5.178;-108.023;0;-8.472;-155.826;32.273;628;4.010;-2.301;-6.529;-6.458;0;1.805;-12.529;-21.374;10.899;-132;10.767;-4.144;-120;6.502;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2010;167.759;0;10.789;0;0;0;178.547;-10.090;0;0;0;-45.736;-55.826;122.722;25.924;36.527;-7.898;-62.551;-16.926;0;3.091;-9.828;-31.663;91.059;0;91.059;-37.937;0;53.122;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2010;105.555;49.412;23.900;-469;0;0;178.396;-34.079;-26.793;-40.198;0;18.067;-83.003;95.393;996;107;-5.938;-8.619;-3.004;0;136;-1.532;-17.854;77.539;322;77.861;-28.754;-254;48.853;0
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;09/2010;128.860;0;36.213;709;4.158;0;169.939;-83.669;-20.737;0;0;-5.814;-110.220;59.719;45.501;1.820;-10.189;-84.710;-4.636;25.094;528;-9.091;-35.684;24.035;96;24.131;-5.622;-1;18.508;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2010;0;0;88.230;56.950;4.988;0;150.169;-45.772;-358;0;0;0;-46.130;104.039;61.549;0;0;-9.218;-9.708;-1.124;174;-33.638;8.035;112.074;0;112.074;-47.188;0;64.886;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;09/2010;146.440;0;3.441;0;0;0;149.881;-1.580;0;0;-4;-69.686;-71.270;78.611;5.777;0;-11.588;-27.208;-269;0;21.588;-20.651;-32.350;46.261;-7;46.255;-18.560;0;27.694;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2010;189.559;16.335;88.192;-163.594;17.498;0;147.991;-80.733;-12.962;-11.924;0;-31.480;-137.099;10.891;14.346;6.722;-24.650;-109.330;-6.475;2.933;134.023;-36.953;-19.385;-8.493;82;-8.411;-1.546;-129;-10.085;0
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;09/2010;129.677;0;10.531;3.656;0;0;143.864;-39.044;-205;0;0;-21.687;-60.936;82.928;2.897;1.714;-4.826;-77.481;-6.911;10.908;35.077;-25.769;-64.390;18.538;-1.377;17.161;-1.849;0;15.312;-2.430
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2010;879;0;93.737;-42;29.575;0;124.149;-57.559;0;0;0;2.272;-55.287;68.862;17.308;0;-15.818;-8.020;-512;346;2.305;-2.669;-7.060;61.802;0;61.802;-24.637;-2.096;35.068;0
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;09/2010;108.043;0;22.716;-9.465;0;0;121.293;-63.326;0;0;-1.881;-26.427;-91.634;29.660;4.312;15.421;-6.301;-38.539;-5.987;0;294;-64.539;-95.339;-65.680;-93;-65.773;31.825;0;-33.948;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;09/2010;112.446;0;4.687;0;0;0;117.133;0;0;0;0;-15.587;-15.587;101.546;32;0;-2.313;-41.344;-5.954;0;16.972;-352;-32.959;68.587;-360;68.228;-26.595;0;41.633;-4.100
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;09/2010;327;113.406;139;0;0;0;113.872;0;-9.528;-88.266;0;-4.649;-102.443;11.428;0;0;0;-3.163;-1.164;0;2.802;-23;-1.548;9.881;57;9.938;-3.347;0;6.591;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2010;90.696;5.747;17.432;-530;0;0;113.345;-68.727;-7.186;-3.929;0;-9.782;-89.623;23.721;233;559;-1.608;-4.413;-1.838;0;3.582;-2.709;-6.194;17.527;-29;17.498;-7.064;-85;10.349;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2010;90.526;0;18.021;0;0;1.493;110.039;-25.840;0;0;-5;-5.210;-31.055;78.984;1.877;6.424;-33.073;-23.665;-4.768;0;799;-667;-53.073;25.911;-1.172;24.738;-11.432;-19;13.288;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;09/2010;102.648;0;5.313;0;0;0;107.962;-9.321;0;0;-2;-21.068;-30.392;77.570;18.701;1.704;-1.740;-22.908;-6.505;0;11;-35.186;-45.924;31.646;99;31.745;-12.480;-541;18.724;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2010;71.994;0;44.898;-9.660;0;0;107.233;-55.216;-10.222;0;-11.374;-11.383;-88.195;19.038;3.236;272;-14.032;-12.253;-2.841;52;23.503;-4.424;-6.488;12.550;-9;12.542;-2.403;-2.631;7.508;-6.319
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2010;46.009;60.435;625;0;0;0;107.069;-11.060;-13.207;-45.797;0;-6.725;-76.789;30.281;13;1.274;0;-7.741;-2.357;-456;618;-858;-9.506;20.775;72;20.847;-8.956;0;11.890;0
