Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;06/2018;2.675.763;2.545.122;1.735.544;1.617.450;940.220;33.740;941.037;31,74%;0,51%;2;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;06/2018;2.659.283;1.690.709;2.217.379;1.795.561;441.904;25.125;355.856;12,93%;14,82%;2;0
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;S4;I;2;FLORIANOPOLIS;SC;06/2018;2.651.756;0;2.559.898;0;91.858;1.230;90.052;11,24%;2,60%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;06/2018;2.614.083;1.635.993;2.270.828;1.564.862;343.256;27.202;326.478;15,99%;20,81%;0;81
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;06/2018;2.593.950;122.427;2.435.342;0;158.608;-3.724;158.068;73,55%;5,31%;0;0
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;06/2018;2.569.909;558.610;2.386.040;2.140.052;183.869;-118.930;-169.657;-12,47%;0,00%;17;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;06/2018;2.553.747;2.281.710;1.990.656;477.079;563.091;1.386;392.001;11,16%;4,68%;2;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;06/2018;2.552.046;2.152.430;2.243.891;1.753.860;308.155;31.410;408.831;14,72%;4,09%;6;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;06/2018;2.400.805;2.106.792;2.088.375;1.772.296;312.430;2.239;352.126;12,82%;0,42%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;06/2018;2.356.169;900.173;1.995.416;1.773.452;360.753;33.958;347.215;24,62%;6,31%;0;42
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;S4;I;2;BELO HORIZONTE;MG;06/2018;2.324.539;858.723;1.979.930;1.935.577;344.609;32.848;344.176;23,96%;2,54%;0;34
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;06/2018;2.265.737;925.898;1.647.377;1.581.909;618.360;58.223;617.352;48,64%;0,09%;0;45
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;06/2018;2.253.927;1.555.878;1.733.720;1.661.672;520.207;47.589;493.023;28,60%;1,58%;0;5
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;S4;I;2;LONDRINA;PR;06/2018;2.207.280;748.583;1.569.530;1.462.769;637.750;44.378;636.071;39,35%;2,22%;0;27
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;06/2018;2.168.098;1.366.828;1.607.971;1.078.412;560.127;64.628;551.236;26,38%;4,46%;0;26
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;06/2018;2.142.442;1.309.314;1.790.734;1.398.869;351.708;34.611;339.660;18,26%;18,01%;0;56
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;06/2018;2.044.952;561.806;1.877.556;1.758.493;167.396;10.245;76.950;4,88%;2,63%;7;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS – CENTRAL SICREDI BRASIL CENTRAL;33737818;b3C;S4;I;2;GOIANIA;GO;06/2018;2.043.705;27.694;1.996.753;7.232;46.952;326;32.468;15,17%;5,34%;0;0
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;S4;I;2;LONDRINA;PR;06/2018;2.016.959;0;1.966.957;2.632;50.003;0;48.295;29,28%;3,99%;0;1
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;06/2018;1.996.460;1.198.300;1.743.101;1.539.671;253.359;32.480;233.489;16,43%;15,35%;0;75
AF PARANÁ - PRUDENCIAL;1000081115;n1;S4;I;1;CURITIBA;PR;06/2018;1.966.360;1.132.798;323.053;255.559;1.643.307;44.988;356.482;51,67%;0,25%;2;0
