Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;12/2015;3.992.658;25.616;3.623.890;311.020;368.768;20.326;258.419;19,80%;16,50%;0;1
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;12/2015;3.796.485;1.402.512;3.211.395;3.033.018;585.090;27.208;563.962;21,06%;6,11%;9;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;12/2015;3.792.293;88.004;3.555.447;3.380.243;236.846;0;206.625;22,31%;4,36%;0;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;12/2015;3.694.181;2.185.368;684.650;0;3.009.531;587.198;3.002.438;55,23%;0,54%;1;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;12/2015;3.673.107;1.589.821;3.081.949;2.885.287;591.158;-29.177;434.244;16,46%;18,99%;14;0
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;12/2015;3.626.925;945.211;3.080.253;2.271.669;546.673;42.036;543.282;20,79%;0,87%;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;12/2015;3.573.412;0;3.340.840;3.117.598;232.572;17.330;152.002;32,09%;1,78%;0;0
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;;I;3;SAO PAULO;SP;12/2015;3.414.698;0;3.094.514;1.734.850;320.184;24.058;317.812;16,32%;0,72%;1;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;12/2015;3.135.549;1.956.554;2.449.216;2.236.578;686.333;67.814;686.045;28,71%;2,38%;0;83
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;12/2015;3.091.311;1.626.161;2.157.335;1.486.556;933.976;115.286;914.018;22,94%;32,43%;2;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;12/2015;3.073.556;111.522;2.930.958;134.809;142.598;7.042;119.580;17,11%;5,04%;0;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;12/2015;3.028.267;927.569;2.532.567;1.947.906;495.700;64.855;488.997;19,91%;0,86%;1;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;12/2015;2.999.209;2.784.456;2.112.164;581.234;887.045;75.266;887.045;29,55%;0,05%;1;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;12/2015;2.694.078;3.094.275;2.436.479;1.502.319;257.600;17.646;324.869;13,80%;0,87%;2;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;12/2015;2.561.552;1.659.908;2.072.833;1.910.055;488.719;26.507;500.621;16,09%;6,92%;8;0
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;12/2015;2.559.170;1.961.620;1.781.689;756.713;777.481;45.639;759.161;27,21%;0,68%;2;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;12/2015;2.523.521;2.139.974;2.195.089;2.061.985;328.432;16.031;324.849;20,08%;2,59%;46;0
COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE;33667205;b3C;;I;2;CUIABA;MT;12/2015;2.490.404;60.431;2.369.178;0;121.225;918;88.043;25,72%;3,12%;0;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;12/2015;2.479.959;2.228.085;1.945.957;290.119;534.002;54.679;449.012;10,97%;9,98%;1;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;12/2015;2.467.641;1.523.086;2.064.584;1.735.164;403.058;32.232;394.080;16,94%;17,19%;41;0
