Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;09/2016;565.912;0;565.912;0;565.912;1.932.759;22.959;0;750.258;0;773.217;216.785;2.922.762;4.180.240;19,36%;19,36%;19,36%;13,54%;8,57%
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;09/2016;607.200;0;607.200;0;607.200;2.524.565;0;0;0;0;0;393.173;2.917.739;0;20,81%;20,81%;20,81%;NI%;0,06%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;09/2016;862.802;0;862.802;0;862.802;2.808.888;NA;NA;NA;NA;NA;NA;2.808.888;0;30,72%;30,72%;30,72%;NI%;1,81%
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;09/2016;420.141;0;420.141;0;420.141;2.329.246;136.518;0;3.831;0;140.349;210.495;2.680.090;3.743.097;15,68%;15,68%;15,68%;11,22%;0,08%
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;09/2016;324.749;0;324.749;0;324.749;2.332.455;1.428;80.359;32.007;15.975;129.769;188.517;2.650.741;3.706.020;12,25%;12,25%;12,25%;8,76%;22,81%
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;09/2016;283.734;0;283.734;97.392;381.126;2.257.663;0;0;6.248;0;6.249;336.301;2.600.213;4.361.996;10,91%;10,91%;14,66%;6,50%;24,46%
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;09/2016;515.798;0;515.798;0;515.798;1.691.592;38.196;0;597.259;0;635.455;194.467;2.521.515;3.573.352;20,46%;20,46%;20,46%;14,43%;0,64%
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;09/2016;412.070;0;412.070;0;412.070;1.711.431;0;0;319;0;319;763.705;2.475.455;2.424.635;16,65%;16,65%;16,65%;17,00%;16,65%
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;C;2;RIO DE JANEIRO;RJ;09/2016;337.579;0;337.579;0;337.579;1.574.195;187.881;71;480.041;2.511;670.503;183.254;2.427.952;2.230.039;13,90%;13,90%;13,90%;15,14%;2,71%
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;09/2016;343.592;0;343.592;0;343.592;2.190.954;4.060;1.827;18.559;1.624;26.071;199.105;2.416.129;2.959.502;14,22%;14,22%;14,22%;11,61%;3,06%
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;09/2016;259.002;87.370;346.372;0;346.372;1.760.196;0;0;0;0;0;616.389;2.376.585;0;10,90%;14,57%;14,57%;NI%;0,77%
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;09/2016;554.531;0;554.531;0;554.531;1.734.548;22.404;0;334.098;0;356.501;209.633;2.300.682;4.289.980;24,10%;24,10%;24,10%;12,93%;0,91%
