Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;06/2014;13.110;12.633;577.593;1.213.780;-60.597;1.153.183;0;0;0;0;0;195.072;99.348;54.780;2.105.718;0;2.105.718
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;06/2014;719;557.136;410.560;1.210.112;-229.559;980.553;0;0;0;0;0;106.258;193;27.656;2.083.075;0;2.083.075
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;06/2014;4;1.315.600;622.707;58.054;-1.219;56.835;0;0;0;0;0;3.634;63;73.388;2.072.231;0;2.072.231
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;06/2014;8.075;0;490.819;1.451.399;-37.755;1.413.644;0;0;0;0;0;9.467;21.904;98.724;2.042.633;0;2.042.633
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;06/2014;9.447;49.500;76.146;1.192.213;-285.226;906.986;0;0;0;0;0;908.160;0;1.531;1.951.769;0;1.951.769
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;;I;3;RIO DE JANEIRO;RJ;06/2014;620;99.823;526.911;0;0;0;0;0;0;0;0;1.286.762;12.243;18.681;1.945.040;0;1.945.040
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;I;2;UBERLANDIA;MG;06/2014;332;330.385;136.365;1.132.397;-90.560;1.041.837;0;0;0;0;0;278.014;92.982;60.697;1.940.613;0;1.940.613
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;06/2014;53.396;246.833;192.465;706.272;-9.400;696.873;0;0;0;0;0;739.118;4.766;313;1.933.764;0;1.933.764
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;06/2014;17.559;166.290;116.077;1.484.712;-243.907;1.240.805;191;4.406;1.988;-132;6.453;200.480;163.579;3.131;1.914.375;1.988;1.912.387
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;06/2014;2;296.259;1.353.759;63.103;-27;63.077;0;0;0;0;0;42.641;36;41.874;1.797.649;0;1.797.649
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;06/2014;262.591;383.878;364.114;256.998;-13.515;243.484;0;0;0;0;0;505.218;23.885;6.714;1.789.883;0;1.789.883
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;06/2014;236;191.199;185.756;923.566;-266.905;656.661;0;0;0;0;0;699.600;0;606;1.734.059;0;1.734.059
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;06/2014;3.562;157.160;762.444;287.182;-473;286.709;0;0;0;0;0;496.892;868;4.092;1.711.726;0;1.711.726
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;06/2014;9.770;177.757;177.124;1.254.212;-41.859;1.212.353;0;0;0;0;0;34.733;63.445;11.182;1.686.364;0;1.686.364
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;06/2014;50.621;378.187;370.724;640.223;-6.230;633.993;0;0;0;0;0;117.302;5.602;43.481;1.599.909;0;1.599.909
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;I;2;RIO DE JANEIRO;RJ;06/2014;10.937;64.670;771.649;455.540;-5.645;449.895;0;0;0;0;0;168.714;93.216;21.596;1.580.676;0;1.580.676
RENASCENCA DTVM LTDA - PRUDENCIAL;1000084105;n2;;I;2;SAO PAULO;SP;06/2014;56;1.515.941;50.552;0;0;0;0;0;0;0;0;6.892;67;1.216;1.574.724;0;1.574.724
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;06/2014;3.237;630.766;157.375;771.212;-14.269;756.943;0;0;0;0;0;5.582;2.219;113;1.556.234;0;1.556.234
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;;I;1;VITORIA;ES;06/2014;516;329.681;214.216;972.099;-46.514;925.584;0;0;0;0;0;51.657;3.077;22.077;1.546.808;0;1.546.808
