Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;09/2010;NA;NA;482.678;93.069;575.747;3.907.147;0;0;0;0;0;184.842;4.091.989;NA;NA%;NA%;14,07%;NA%;17,51%
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;1.278.348;212;1.278.560;2.658.228;0;0;563.516;28.073;591.589;512.282;3.762.099;NA;NA%;NA%;33,99%;NA%;0,75%
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;1.130.001;87.292;1.217.293;2.759.990;0;0;129.394;16.533;145.927;687.165;3.593.081;NA;NA%;NA%;33,88%;NA%;1,17%
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;09/2010;NA;NA;478.723;83.740;562.462;3.180.552;0;0;39.953;1.335;41.288;305.930;3.527.771;NA;NA%;NA%;15,94%;NA%;23,07%
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2010;NA;NA;372.083;26.434;398.517;3.260.781;0;0;0;0;0;119.491;3.380.272;NA;NA%;NA%;11,79%;NA%;0,77%
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2010;NA;NA;455.516;238;455.754;2.956.045;0;0;0;0;0;308.520;3.264.565;NA;NA%;NA%;13,96%;NA%;0,70%
BES;51482;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;468.010;60.358;528.368;2.734.795;42.686;0;207.260;12.561;262.506;56.141;3.053.442;NA;NA%;NA%;17,30%;NA%;20,17%
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2010;NA;NA;362.752;-352;362.400;2.633.570;0;0;0;0;0;137.366;2.770.935;NA;NA%;NA%;13,08%;NA%;0,29%
BANIF;20255;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;298.931;9.948;308.879;2.325.747;0;1.860;47.048;153.262;202.170;239.502;2.767.419;NA;NA%;NA%;11,16%;NA%;17,34%
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;09/2010;NA;NA;390.014;899;390.913;2.511.033;0;493;2.586;13.745;16.824;221.159;2.749.016;NA;NA%;NA%;14,22%;NA%;27,39%
