Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;03/2013;120.222;0;45.150;852.599;11.575;1.029.546;78.926;0;0;0;0;0;0;676.066;1.784.538;4.585;277.348;2.066.471;1.830;659.985;2.728.286
COOPERATIVA CENTRAL DE CRÉDITO DOS ESTADOS DO PARANÁ E DE SÃO PAULO - CENTRAL SICREDI PR/SP;80230774;b3C;;I;2;CURITIBA;PR;03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;296;296;0;2.496.226;2.496.523;0;131.845;2.628.367
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;03/2013;0;0;429.199;0;0;429.199;0;0;0;0;0;203.549;203.549;0;632.748;0;1.566.444;2.199.192;0;321.215;2.520.407
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;03/2013;0;0;0;688.468;0;688.468;0;0;0;0;0;0;0;129.162;817.630;131.157;1.350.975;2.299.762;0;193.403;2.493.165
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;03/2013;41.295;0;195.615;674.121;0;911.031;216.346;36.856;17.884;304.975;0;0;359.714;248.654;1.735.745;0;137.677;1.873.422;396;442.897;2.316.715
HONDA;51396;b2;;C;3;SAO PAULO;SP;03/2013;0;0;1.523.647;9.533;0;1.533.180;0;0;0;230.772;0;0;230.772;0;1.763.952;0;82.517;1.846.469;14.354;448.465;2.309.288
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;03/2013;136;0;0;1.729.357;1.514;1.731.008;0;0;0;0;0;0;0;0;1.731.008;0;233.482;1.964.490;0;125.157;2.089.647
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;3;RIO DE JANEIRO;RJ;03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.886.783;1.886.783;0;106.459;1.993.242
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;166.086;166.086;0;1.565.974;1.732.059;0;235.991;1.968.050
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;03/2013;107;0;224.175;191.930;0;416.212;0;17.885;0;384.593;0;0;402.479;606.936;1.425.627;1.703;110.481;1.537.811;2.664;405.064;1.945.540
