Instituição financeira;Código;TCB;TD;TC;Segmento;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
FAIR CORRETORA DE CAMBIO S.A.;32.648.370;n2;I;2;21;SAO PAULO;SP;06/2016;208;3.680;2.891;64.317;3.099;67.998;2.330;29.830;9.798;68.836;12.128;98.666;15.227;166.664;2.972;105.487;50;5.905;3.022;111.392;18.249;278.055
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17.453.575;b1;I;3;8;SAO PAULO;SP;06/2016;9;38.000;678;63.949;687;101.949;41;10.993;34;11.646;75;22.639;762;124.588;168;70.261;47;74.657;215;144.918;977;269.506
ALBATROSS CORRETORA DE CAMBIO E VALORES S.A;5.452.073;n2;I;2;15;SAO PAULO;SP;06/2016;9;275;423;10.043;432;10.319;294;2.030;3.588;46.117;3.882;48.146;4.314;58.465;4.362;132.277;276;78.413;4.638;210.690;8.952;269.155
MS BANK S.A. BANCO DE CÂMBIO;19.307.785;b2;I;2;39;CURITIBA;PR;06/2016;42;928;532;18.296;574;19.225;195;70.629;1.163;49.009;1.358;119.638;1.932;138.863;592;61.319;1.121;67.071;1.713;128.390;3.645;267.253
BRASIL PLURAL;51.839;b1;C;2;199;RIO DE JANEIRO;RJ;06/2016;47;12.870;159;34.597;206;47.467;167;64.049;220;36.874;387;100.922;593;148.389;147;53.895;77;58.422;224;112.318;817;260.707
MULTIMONEY CORRETORA DE CÂMBIO LTDA;12.586.596;n2;I;2;21;SAO PAULO;SP;06/2016;50;1.905;993;18.659;1.043;20.564;2.343;11.527;8.415;49.246;10.758;60.774;11.801;81.338;5.871;116.497;1.354;62.015;7.225;178.511;19.026;259.849
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;8;SAO PAULO;SP;06/2016;228;45.455;353;31.481;581;76.937;63;17.753;786;34.906;849;52.659;1.430;129.596;578;65.565;261;62.399;839;127.965;2.269;257.560
BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;16.944.141;n2;I;2;21;SAO PAULO;SP;06/2016;82;1.616;2.770;71.914;2.852;73.530;949;7.526;3.434;34.145;4.383;41.671;7.235;115.201;4.304;116.546;431;19.671;4.735;136.217;11.970;251.418
AGK CORRETORA DE CAMBIO S.A.;250.699;n2;I;2;21;SAO PAULO;SP;06/2016;344;12.143;2.184;70.798;2.528;82.941;949;23.952;2.340;25.227;3.289;49.180;5.817;132.121;1.018;81.931;106;22.086;1.124;104.017;6.941;236.138
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;8;FORTALEZA;CE;06/2016;98;64.278;127;26.919;225;91.197;54;2.528;144;10.757;198;13.285;423;104.482;72;67.664;59;50.973;131;118.637;554;223.118
